MM-DD HH:MM (UTC),2021,2022,2023,2024
02-19 19:00,104.17,64.69,87.2,80.71
02-19 20:00,100.75,89.48,78.45,79.32
02-19 21:00,105.02,81.47,80.97,72.18
02-19 22:00,104.89,88.44,82.25,60.85
02-19 23:00,84.08,79.56,76.04,55.13
02-20 00:00,125.08,61.75,78.19,54.61
02-20 01:00,120.43,68.26,74.16,52.69
02-20 02:00,139.29,91.96,73.5,51.6
02-20 03:00,153.47,95.16,68.82,50.68
02-20 04:00,154.06,95.35,67.61,49.52
02-20 05:00,145.43,93.79,63.28,58.54
02-20 06:00,126.99,93.67,58.96,59.17
02-20 07:00,81.36,101.05,57.99,64.83
02-20 08:00,140.33,126.63,63.01,73.41
02-20 09:00,140.86,135.24,85.39,57.81
02-20 10:00,138.47,131.21,81.51,65.82
02-20 11:00,148.44,123.82,82.17,55.46
02-20 12:00,151.03,129.7,89.64,71.49
02-20 13:00,154.65,119.25,95.41,72.69
02-20 14:00,163.54,116.84,95.79,60.08
02-20 15:00,183.55,108.67,88.85,72.07
02-20 16:00,118.33,115.74,62.81,70.85
02-20 17:00,111.82,116.54,65.27,63.73
02-20 18:00,111.62,116.67,63.25,54.01
02-20 19:00,143.25,113.88,62.75,51.73
02-20 20:00,143.04,115.63,64.29,44.19
02-20 21:00,143.36,107.65,62.76,40.8
02-20 22:00,143.67,111.69,54.83,43.29
02-20 23:00,142.47,110.19,50.81,42.33
02-21 00:00,145.21,91.72,48.27,41.08
02-21 01:00,143.93,92.2,48.91,43.49
02-21 02:00,147.37,92.22,54.19,51.36
02-21 03:00,156.92,99.21,59.19,56.38
02-21 04:00,163.91,93.66,67.75,53.52
02-21 05:00,165.31,89.41,75.98,54.15
02-21 06:00,160.54,100.29,76.03,51.85
02-21 07:00,162.38,112.42,84.3,51.76
02-21 08:00,162.02,104.3,86.01,52.79
02-21 09:00,165.3,101.18,86.69,44.26
02-21 10:00,175.54,112.65,89.85,43.33
02-21 11:00,173.74,113.42,79.75,43.03
02-21 12:00,184.69,91.5,75.33,43.22
02-21 13:00,196.64,84.22,78.91,44.12
02-21 14:00,196.45,78.52,80.14,53.59
02-21 15:00,109.7,87.89,84.63,67.7
02-21 16:00,113.42,111.78,93.8,66.72
02-21 17:00,111.86,132.14,115.95,64.18
02-21 18:00,126.96,120.61,98.1,61.19
02-21 19:00,118.74,92.95,101.91,47.07
02-21 20:00,103.85,49.43,108.51,53.31
02-21 21:00,110.66,71.2,115.38,57.62
02-21 22:00,107.0,61.93,110.23,67.04
02-21 23:00,105.25,54.03,127.99,74.22
02-22 00:00,107.4,46.51,110.96,89.4
02-22 01:00,108.15,45.65,96.63,81.34
02-22 02:00,134.72,46.6,97.69,45.29
02-22 03:00,247.34,45.66,97.22,39.42
02-22 04:00,231.89,55.71,97.92,49.0
02-22 05:00,143.13,134.29,99.5,54.9
02-22 06:00,222.09,203.25,123.26,55.16
02-22 07:00,215.57,187.9,130.92,57.78
02-22 08:00,198.35,182.39,116.23,63.81
02-22 09:00,185.38,160.91,117.48,61.56
02-22 10:00,184.65,145.37,120.84,66.64
02-22 11:00,169.66,181.76,127.23,51.29
02-22 12:00,156.6,200.04,111.72,53.27
02-22 13:00,152.18,201.43,97.54,59.49
02-22 14:00,118.25,204.34,91.63,71.03
02-22 15:00,132.0,190.84,93.34,71.02
02-22 16:00,149.5,206.35,98.07,75.82
02-22 17:00,126.99,190.64,85.65,68.61
02-22 18:00,133.79,167.3,89.41,63.56
02-22 19:00,114.49,132.72,85.05,54.05
02-22 20:00,113.62,119.56,72.13,53.94
02-22 21:00,120.73,99.65,69.54,45.22
02-22 22:00,124.54,83.16,68.69,30.93
02-22 23:00,134.4,89.99,68.66,46.15
02-23 00:00,132.72,74.93,70.86,66.25
02-23 01:00,133.72,72.86,67.03,68.1
02-23 02:00,107.45,75.49,68.56,68.71
02-23 03:00,108.43,79.93,69.0,59.64
02-23 04:00,108.79,76.16,77.62,37.68
02-23 05:00,85.74,90.31,85.07,47.73
02-23 06:00,105.61,91.39,89.62,59.99
02-23 07:00,121.08,94.57,94.64,58.41
02-23 08:00,139.31,84.81,94.5,56.83
02-23 09:00,137.44,84.11,95.53,53.22
02-23 10:00,132.65,103.81,99.52,49.21
02-23 11:00,167.28,74.44,93.13,51.61
02-23 12:00,189.07,94.29,101.49,51.97
02-23 13:00,198.93,80.61,106.75,48.73
02-23 14:00,149.59,74.27,104.89,45.51
02-23 15:00,135.56,51.5,106.77,47.95
02-23 16:00,133.55,52.71,107.03,43.34
02-23 17:00,119.1,38.08,101.34,41.81
02-23 18:00,117.48,33.23,87.27,41.1
02-23 19:00,114.55,24.36,79.26,41.68
02-23 20:00,103.23,25.84,76.36,40.62
02-23 21:00,105.88,35.97,75.61,42.6
02-23 22:00,102.71,27.93,67.79,47.97
02-23 23:00,125.64,25.54,66.96,53.36
02-24 00:00,144.42,23.03,67.46,60.69
02-24 01:00,158.9,22.14,68.76,62.79
02-24 02:00,160.19,21.55,70.77,59.58
02-24 03:00,154.53,20.8,72.55,65.97
02-24 04:00,142.33,20.02,77.45,74.95
02-24 05:00,118.11,22.38,76.8,73.07
02-24 06:00,96.33,24.83,79.38,72.68
02-24 07:00,105.39,29.69,84.3,75.16
02-24 08:00,94.45,30.03,80.31,63.48
02-24 09:00,86.16,26.75,83.8,56.84
02-24 10:00,82.07,27.62,86.83,49.33
02-24 11:00,89.61,24.86,86.95,48.22
02-24 12:00,86.11,24.95,93.92,45.88
02-24 13:00,96.57,30.65,83.92,47.27
02-24 14:00,111.39,34.28,86.45,48.08
02-24 15:00,120.02,68.72,96.28,54.7
02-24 16:00,108.5,102.09,106.04,65.01
02-24 17:00,103.88,59.65,92.62,64.84
02-24 18:00,104.68,66.7,97.86,69.59
02-24 19:00,100.88,57.48,85.91,54.61
02-24 20:00,101.48,56.6,67.51,38.07
02-24 21:00,100.0,50.26,67.1,38.4
02-24 22:00,104.12,52.31,68.03,40.5
02-24 23:00,99.1,46.55,73.54,45.1
02-25 00:00,89.1,28.54,76.7,46.2
02-25 01:00,98.65,27.2,71.25,46.25
02-25 02:00,101.31,26.11,72.99,47.44
02-25 03:00,105.2,27.84,76.09,55.52
02-25 04:00,111.34,27.69,75.26,62.05
02-25 05:00,112.66,28.16,66.32,64.92
02-25 06:00,115.54,29.05,63.77,61.91
02-25 07:00,113.04,45.46,71.04,62.52
02-25 08:00,102.86,43.06,54.74,55.79
02-25 09:00,75.19,57.23,57.28,53.63
02-25 10:00,76.7,75.7,53.41,50.66
02-25 11:00,82.28,54.49,39.93,53.51
02-25 12:00,86.82,54.46,38.58,57.06
02-25 13:00,86.49,46.68,36.78,58.25
02-25 14:00,78.3,46.85,35.85,62.13
02-25 15:00,97.79,52.36,31.98,65.41
02-25 16:00,104.58,73.94,29.77,75.26
02-25 17:00,105.07,77.07,32.89,81.87
02-25 18:00,97.9,79.67,33.46,83.51
02-25 19:00,95.14,84.15,29.84,77.29
02-25 20:00,106.19,54.06,30.19,93.59
02-25 21:00,103.29,47.03,29.9,112.04
02-25 22:00,99.91,43.59,29.13,117.49
02-25 23:00,89.62,40.23,27.94,97.52
02-26 00:00,85.6,40.08,30.41,72.53
02-26 01:00,84.42,53.45,31.88,67.68
02-26 02:00,84.59,51.55,30.38,68.94
02-26 03:00,85.08,54.53,28.23,77.33
02-26 04:00,88.35,54.43,27.84,88.77
02-26 05:00,89.45,40.56,27.21,103.42
02-26 06:00,95.95,62.32,28.63,159.1
02-26 07:00,86.96,83.17,33.98,139.55
02-26 08:00,86.93,80.16,35.71,100.75
02-26 09:00,97.38,72.51,35.81,95.06
02-26 10:00,100.04,63.46,37.41,77.55
02-26 11:00,95.75,72.18,40.52,58.3
02-26 12:00,85.07,71.05,55.46,66.47
02-26 13:00,80.12,91.49,35.83,89.51
02-26 14:00,81.47,84.69,52.57,89.32
02-26 15:00,102.67,81.16,64.86,110.53
02-26 16:00,90.33,100.79,67.64,132.91
02-26 17:00,113.9,101.23,76.29,148.45
02-26 18:00,106.75,107.52,71.43,126.56
02-26 19:00,95.89,101.07,76.27,104.47
02-26 20:00,99.69,94.92,79.03,92.62
02-26 21:00,107.84,88.19,86.66,85.76
02-26 22:00,107.54,83.42,84.33,85.62
02-26 23:00,106.96,57.35,78.67,95.44
02-27 00:00,108.08,52.71,75.19,91.01
02-27 01:00,107.48,51.6,77.57,91.81
02-27 02:00,106.49,51.85,87.6,88.8
02-27 03:00,108.29,49.65,85.24,89.7
02-27 04:00,112.73,49.87,96.32,93.77
02-27 05:00,117.51,50.84,87.08,109.19
02-27 06:00,162.56,56.79,139.54,144.85
02-27 07:00,167.95,59.92,126.4,152.13
02-27 08:00,130.04,85.18,190.09,120.8
02-27 09:00,115.47,70.55,126.02,94.81
02-27 10:00,113.86,68.27,96.8,87.27
02-27 11:00,134.28,66.08,95.5,93.93
02-27 12:00,128.32,62.27,95.65,93.04
02-27 13:00,123.56,71.52,93.11,90.77
02-27 14:00,146.47,111.59,101.09,100.36
02-27 15:00,143.72,88.66,112.81,125.65
02-27 16:00,152.16,76.59,104.55,156.52
02-27 17:00,148.79,75.28,116.2,124.6
02-27 18:00,131.34,71.92,128.48,115.42
02-27 19:00,128.53,104.21,112.78,107.14
02-27 20:00,125.51,82.82,104.39,100.02
02-27 21:00,131.48,73.61,103.36,95.0
02-27 22:00,127.28,61.14,93.76,104.05
02-27 23:00,120.52,59.06,81.84,92.85
02-28 00:00,109.22,58.09,80.57,91.23
02-28 01:00,102.8,60.19,84.35,98.24
02-28 02:00,107.67,61.64,85.24,100.15
02-28 03:00,104.56,66.18,85.57,100.79
02-28 04:00,101.47,75.6,91.79,102.21
02-28 05:00,98.86,108.87,97.36,103.53
02-28 06:00,112.55,103.19,99.26,107.26
02-28 07:00,117.63,100.56,108.13,102.58
02-28 08:00,111.55,96.91,105.68,95.61
02-28 09:00,113.51,74.54,90.48,87.7
02-28 10:00,100.23,53.0,86.84,84.96
02-28 11:00,95.63,59.4,82.99,90.9
02-28 12:00,98.84,62.76,84.25,83.92
02-28 13:00,110.19,76.81,91.27,76.37
02-28 14:00,106.82,76.7,91.06,81.39
02-28 15:00,101.29,88.75,115.49,84.38
02-28 16:00,118.71,84.69,117.77,100.89
02-28 17:00,115.98,106.96,118.85,123.65
02-28 18:00,116.98,83.12,111.62,120.51
02-28 19:00,118.2,62.73,102.1,91.68
02-28 20:00,104.23,41.31,87.37,75.17
02-28 21:00,102.05,40.49,83.95,69.38
02-28 22:00,103.98,39.03,83.55,68.43
02-28 23:00,97.46,38.48,80.78,67.39
03-01 00:00,96.0,39.12,77.43,47.15
03-01 01:00,94.93,39.85,90.0,51.12
03-01 02:00,104.91,39.42,79.13,59.4
03-01 03:00,94.63,40.89,78.18,62.92
03-01 04:00,94.68,45.67,89.45,61.5
03-01 05:00,127.31,63.81,98.69,60.39
03-01 06:00,132.9,75.83,92.83,61.95
03-01 07:00,128.37,64.54,91.83,66.07
03-01 08:00,139.31,60.9,105.68,70.75
03-01 09:00,137.53,63.35,108.45,70.22
03-01 10:00,118.48,61.08,86.11,70.84
03-01 11:00,114.41,71.93,83.25,69.73
03-01 12:00,110.81,75.83,81.33,67.66
03-01 13:00,113.44,90.45,100.58,77.45
03-01 14:00,141.27,94.54,92.05,87.62
03-01 15:00,147.76,107.16,90.64,94.56
03-01 16:00,147.86,99.23,103.32,103.03
03-01 17:00,128.58,108.12,121.89,118.5
03-01 18:00,130.11,110.3,101.71,104.74
03-01 19:00,134.46,103.82,97.78,95.89
03-01 20:00,139.07,119.14,91.81,114.15
03-01 21:00,123.41,116.66,77.2,115.49
03-01 22:00,122.68,120.0,79.18,111.29
03-01 23:00,107.88,82.84,83.68,104.27
03-02 00:00,106.0,76.77,78.24,95.09
03-02 01:00,97.15,73.8,78.84,86.08
03-02 02:00,98.71,75.36,93.89,80.64
03-02 03:00,103.64,77.28,97.92,82.31
03-02 04:00,108.95,85.91,94.1,79.69
03-02 05:00,120.82,85.32,110.92,86.46
03-02 06:00,136.53,117.36,109.35,82.51
03-02 07:00,160.62,130.59,106.85,88.28
03-02 08:00,109.55,125.09,104.34,91.5
03-02 09:00,148.74,92.1,107.84,97.44
03-02 10:00,106.91,86.84,90.34,106.74
03-02 11:00,107.65,78.28,77.97,166.11
03-02 12:00,96.55,80.71,77.44,179.73
03-02 13:00,103.72,80.73,82.18,184.95
03-02 14:00,113.82,82.37,95.97,123.86
03-02 15:00,89.66,88.2,100.39,114.87
03-02 16:00,133.86,94.53,95.24,123.67
03-02 17:00,138.03,100.99,103.26,114.97
03-02 18:00,129.99,102.48,106.21,140.31
03-02 19:00,131.42,99.27,109.98,122.25
03-02 20:00,148.2,100.19,98.08,120.18
03-02 21:00,122.44,97.83,94.91,112.68
03-02 22:00,135.24,86.35,87.44,108.84
03-02 23:00,143.15,75.58,102.02,100.3
03-03 00:00,127.24,70.92,93.76,89.67
03-03 01:00,118.33,71.45,99.11,86.65
03-03 02:00,125.41,72.39,91.63,88.44
03-03 03:00,165.88,76.87,87.16,86.81
03-03 04:00,268.57,78.92,94.64,84.68
03-03 05:00,253.44,86.97,98.56,84.3
03-03 06:00,231.04,103.82,105.44,78.25
03-03 07:00,224.6,108.34,106.61,73.42
03-03 08:00,177.65,112.03,104.34,78.06
03-03 09:00,163.03,95.62,105.0,83.96
03-03 10:00,133.99,91.79,96.44,87.15
03-03 11:00,139.18,74.86,81.46,111.58
03-03 12:00,130.87,75.93,69.39,122.97
03-03 13:00,125.04,75.84,59.62,113.13
03-03 14:00,195.19,99.47,40.28,84.38
03-03 15:00,169.98,96.66,31.6,69.99
03-03 16:00,234.65,97.03,27.62,73.71
03-03 17:00,131.57,96.1,29.36,79.31
03-03 18:00,136.78,95.38,32.03,78.41
03-03 19:00,250.68,101.7,31.65,73.21
03-03 20:00,204.2,105.33,31.48,74.0
03-03 21:00,153.06,93.69,31.61,74.71
03-03 22:00,136.13,81.18,33.29,75.72
03-03 23:00,130.8,72.84,32.9,70.14
03-04 00:00,133.88,76.1,37.11,68.23
03-04 01:00,128.46,83.05,40.78,76.79
03-04 02:00,122.33,96.65,41.7,65.78
03-04 03:00,136.05,91.67,41.31,65.15
03-04 04:00,156.75,90.23,41.66,67.94
03-04 05:00,180.98,85.5,39.88,69.06
03-04 06:00,157.55,117.66,38.45,67.57
03-04 07:00,217.17,151.21,36.86,66.77
03-04 08:00,235.83,145.26,38.33,63.3
03-04 09:00,244.95,108.0,42.53,68.01
03-04 10:00,232.8,84.11,41.78,74.29
03-04 11:00,188.3,109.36,45.38,59.67
03-04 12:00,188.5,79.76,45.41,55.18
03-04 13:00,112.43,79.7,48.7,53.57
03-04 14:00,119.97,85.91,52.43,55.23
03-04 15:00,118.95,97.65,70.67,55.96
03-04 16:00,144.88,108.73,99.41,56.78
03-04 17:00,175.28,109.01,114.5,57.69
03-04 18:00,170.41,108.95,113.08,63.63
03-04 19:00,215.17,114.31,119.91,69.87
03-04 20:00,204.69,117.54,120.65,69.07
03-04 21:00,192.99,102.11,122.74,65.37
03-04 22:00,184.67,96.15,106.19,68.68
03-04 23:00,200.36,90.42,99.06,68.58
03-05 00:00,175.92,92.58,91.36,65.88
03-05 01:00,175.66,101.91,86.68,66.84
03-05 02:00,158.71,85.88,84.87,67.94
03-05 03:00,193.64,82.79,82.34,71.51
03-05 04:00,288.16,81.4,84.31,67.96
03-05 05:00,307.63,89.06,86.23,63.98
03-05 06:00,338.25,107.9,86.12,61.66
03-05 07:00,329.34,85.89,93.96,62.24
03-05 08:00,297.1,89.58,86.51,63.06
03-05 09:00,236.33,77.3,70.03,59.82
03-05 10:00,192.55,75.4,53.89,59.14
03-05 11:00,178.94,82.24,54.16,61.17
03-05 12:00,162.29,90.5,66.59,57.99
03-05 13:00,172.1,83.78,71.27,56.91
03-05 14:00,235.96,91.1,72.9,58.45
03-05 15:00,288.53,103.43,82.66,58.48
03-05 16:00,347.09,111.09,110.69,61.43
03-05 17:00,359.61,108.24,123.3,62.37
03-05 18:00,337.73,110.54,145.24,63.23
03-05 19:00,318.29,102.07,140.58,63.04
03-05 20:00,286.57,104.67,132.59,66.61
03-05 21:00,238.0,100.54,135.06,81.9
03-05 22:00,177.76,99.02,135.15,86.96
03-05 23:00,165.98,98.44,174.4,82.08
03-06 00:00,134.66,88.85,125.63,75.17
03-06 01:00,149.88,100.76,134.74,75.74
03-06 02:00,157.97,92.3,115.71,77.81
03-06 03:00,147.12,80.07,140.02,89.77
03-06 04:00,160.98,91.17,203.52,89.01
03-06 05:00,173.54,92.1,282.07,90.45
03-06 06:00,186.98,94.27,251.32,92.61
03-06 07:00,186.05,80.85,282.37,90.08
03-06 08:00,170.8,65.42,273.57,89.6
03-06 09:00,161.15,65.79,254.52,110.5
03-06 10:00,152.96,66.84,234.87,82.81
03-06 11:00,137.67,73.66,219.04,80.29
03-06 12:00,134.86,72.75,145.47,79.3
03-06 13:00,128.05,75.74,139.24,66.5
03-06 14:00,128.42,91.17,204.78,65.4
03-06 15:00,133.16,110.41,294.34,68.66
03-06 16:00,130.11,98.29,302.06,79.81
03-06 17:00,141.7,97.21,302.05,86.49
03-06 18:00,138.66,99.74,291.78,88.98
03-06 19:00,126.59,88.59,271.42,108.96
03-06 20:00,119.08,87.15,240.76,107.09
03-06 21:00,137.34,93.11,207.69,79.69
03-06 22:00,132.67,88.03,170.77,84.59
03-06 23:00,121.78,88.35,156.02,69.28
03-07 00:00,120.47,80.91,129.64,66.8
03-07 01:00,123.98,79.19,124.77,76.36
03-07 02:00,138.28,80.57,121.57,78.51
03-07 03:00,138.36,76.5,124.57,83.45
03-07 04:00,128.07,78.58,134.48,94.49
03-07 05:00,135.22,83.46,136.81,100.68
03-07 06:00,135.63,104.1,135.82,156.27
03-07 07:00,137.21,100.61,134.51,148.93
03-07 08:00,117.61,96.25,118.94,109.89
03-07 09:00,107.36,88.44,108.53,73.99
03-07 10:00,104.64,64.65,107.07,67.71
03-07 11:00,113.56,59.64,106.6,72.91
03-07 12:00,136.57,59.83,106.44,71.97
03-07 13:00,140.22,62.82,98.48,69.91
03-07 14:00,141.5,70.38,86.1,70.63
03-07 15:00,146.74,72.55,90.04,79.77
03-07 16:00,178.25,92.26,92.72,101.45
03-07 17:00,273.29,112.33,92.23,112.48
03-07 18:00,279.82,99.39,69.07,123.29
03-07 19:00,262.1,90.48,77.56,103.14
03-07 20:00,219.67,91.97,83.34,99.85
03-07 21:00,183.79,105.56,91.32,96.29
03-07 22:00,162.39,111.61,87.46,88.14
03-07 23:00,161.74,105.53,77.48,93.13
03-08 00:00,171.64,98.22,76.37,94.0
03-08 01:00,175.09,105.85,77.28,101.34
03-08 02:00,170.89,107.93,77.82,99.6
03-08 03:00,160.49,111.9,73.8,91.39
03-08 04:00,255.71,123.67,84.49,97.97
03-08 05:00,305.55,139.47,104.19,117.61
03-08 06:00,366.35,132.62,113.62,130.48
03-08 07:00,375.33,151.69,135.0,135.54
03-08 08:00,347.68,145.39,167.78,122.91
03-08 09:00,324.0,97.53,95.48,155.04
03-08 10:00,309.16,98.86,94.94,131.71
03-08 11:00,280.19,97.3,91.28,122.57
03-08 12:00,175.73,83.33,88.85,116.62
03-08 13:00,205.46,103.92,89.98,113.94
03-08 14:00,194.8,102.87,95.14,115.58
03-08 15:00,227.49,90.48,109.64,129.85
03-08 16:00,393.01,126.12,172.59,79.7
03-08 17:00,324.5,122.23,176.29,77.82
03-08 18:00,358.68,157.47,175.99,95.51
03-08 19:00,397.44,153.33,137.42,73.87
03-08 20:00,385.18,152.89,139.91,74.0
03-08 21:00,376.71,119.04,109.89,91.31
03-08 22:00,332.88,103.35,104.41,85.85
03-08 23:00,361.71,142.64,115.55,115.38
03-09 00:00,352.41,143.88,102.34,122.16
03-09 01:00,319.92,107.45,95.59,124.81
03-09 02:00,353.77,110.21,89.02,120.44
03-09 03:00,365.31,127.39,113.45,113.44
03-09 04:00,364.01,96.25,217.54,109.63
03-09 05:00,362.22,105.52,309.79,99.63
03-09 06:00,363.32,141.79,301.31,91.81
03-09 07:00,340.92,119.75,278.67,79.27
03-09 08:00,315.88,110.25,254.35,78.9
03-09 09:00,296.97,90.43,222.87,78.78
03-09 10:00,283.05,111.65,152.49,77.03
03-09 11:00,272.73,74.59,144.7,57.54
03-09 12:00,260.46,76.23,126.98,48.32
03-09 13:00,235.74,74.14,127.37,60.49
03-09 14:00,181.14,92.21,124.38,77.95
03-09 15:00,253.15,104.53,129.6,72.83
03-09 16:00,355.98,122.42,189.42,60.53
03-09 17:00,375.93,135.01,225.79,58.75
03-09 18:00,362.02,145.97,263.39,61.86
03-09 19:00,372.94,137.66,268.35,63.16
03-09 20:00,377.46,107.89,196.16,64.05
03-09 21:00,391.31,87.2,148.28,65.39
03-09 22:00,311.58,94.55,104.98,67.63
03-09 23:00,330.55,72.97,111.88,73.45
03-10 00:00,288.94,66.0,126.97,84.3
03-10 01:00,265.39,63.67,106.24,84.36
03-10 02:00,265.12,61.9,120.44,82.53
03-10 03:00,348.89,61.7,129.68,97.29
03-10 04:00,338.41,66.06,207.5,92.09
03-10 05:00,336.06,87.43,194.71,85.27
03-10 06:00,310.94,96.68,207.97,91.78
03-10 07:00,291.32,101.05,191.3,97.13
03-10 08:00,277.55,83.13,171.81,90.52
03-10 09:00,261.31,84.65,144.15,82.52
03-10 10:00,227.87,73.99,123.67,77.59
03-10 11:00,206.39,47.37,145.25,80.16
03-10 12:00,172.7,65.29,135.46,66.11
03-10 13:00,188.64,49.11,146.69,73.85
03-10 14:00,196.6,53.4,129.56,75.37
03-10 15:00,201.16,49.6,147.43,75.05
03-10 16:00,207.09,55.7,149.94,64.31
03-10 17:00,207.02,62.72,150.42,62.76
03-10 18:00,186.29,64.97,129.8,62.84
03-10 19:00,161.09,40.97,83.35,65.81
03-10 20:00,139.71,42.18,82.23,66.24
03-10 21:00,135.9,40.56,107.33,67.58
03-10 22:00,136.72,48.25,117.39,69.67
03-10 23:00,133.71,42.08,117.08,69.6
03-11 00:00,131.07,37.89,115.02,81.75
03-11 01:00,130.38,36.39,119.66,87.27
03-11 02:00,131.16,35.36,121.09,90.97
03-11 03:00,131.49,37.08,121.66,75.02
03-11 04:00,146.15,46.36,121.52,76.64
03-11 05:00,168.99,37.11,91.75,72.79
03-11 06:00,156.3,55.25,86.32,73.42
03-11 07:00,155.12,74.65,102.24,80.47
03-11 08:00,148.49,59.77,106.87,71.06
03-11 09:00,158.16,52.8,99.57,59.77
03-11 10:00,154.32,54.42,94.83,56.64
03-11 11:00,121.76,78.13,90.98,56.04
03-11 12:00,130.74,86.84,99.32,57.03
03-11 13:00,137.23,79.33,96.68,57.34
03-11 14:00,160.57,54.73,92.59,60.32
03-11 15:00,159.1,54.52,87.83,62.61
03-11 16:00,169.68,40.17,93.51,62.67
03-11 17:00,138.28,39.19,100.52,67.52
03-11 18:00,164.23,37.57,102.52,65.07
03-11 19:00,144.35,41.49,105.37,66.48
03-11 20:00,116.79,41.49,97.86,71.29
03-11 21:00,133.35,39.25,80.32,75.77
03-11 22:00,137.26,36.03,76.91,80.22
03-11 23:00,126.45,40.9,72.2,98.79
03-12 00:00,127.05,42.61,72.5,80.88
03-12 01:00,126.13,40.41,72.05,74.41
03-12 02:00,121.42,40.1,73.59,76.97
03-12 03:00,119.52,41.67,77.34,84.0
03-12 04:00,121.8,44.19,73.86,87.65
03-12 05:00,120.09,40.07,74.62,92.68
03-12 06:00,130.84,43.06,76.05,141.97
03-12 07:00,143.93,53.72,75.95,151.33
03-12 08:00,130.02,55.16,94.18,137.81
03-12 09:00,125.79,65.7,95.61,117.46
03-12 10:00,125.55,53.56,118.19,101.87
03-12 11:00,128.52,57.46,147.6,100.39
03-12 12:00,138.24,67.92,141.22,102.12
03-12 13:00,146.31,59.01,135.74,88.91
03-12 14:00,153.64,51.9,136.15,111.99
03-12 15:00,181.08,46.43,104.22,172.38
03-12 16:00,171.78,54.28,95.21,185.33
03-12 17:00,175.29,58.58,98.95,140.66
03-12 18:00,161.2,57.99,129.64,191.57
03-12 19:00,163.21,43.06,116.12,155.28
03-12 20:00,207.17,38.74,128.17,122.07
03-12 21:00,195.31,37.91,106.99,99.12
03-12 22:00,202.88,42.07,109.44,86.93
03-12 23:00,163.42,41.05,116.53,81.12
03-13 00:00,155.3,46.82,106.6,81.13
03-13 01:00,159.77,50.1,101.49,85.24
03-13 02:00,161.65,51.34,96.3,95.17
03-13 03:00,163.99,47.09,93.76,103.7
03-13 04:00,167.46,49.71,90.33,96.99
03-13 05:00,169.18,52.65,89.47,112.58
03-13 06:00,167.39,57.47,88.15,129.93
03-13 07:00,162.06,49.95,78.9,137.67
03-13 08:00,151.74,44.67,86.52,118.09
03-13 09:00,147.04,39.94,74.67,110.07
03-13 10:00,140.87,39.24,73.44,98.41
03-13 11:00,142.47,53.36,74.25,92.44
03-13 12:00,145.34,61.16,71.9,95.29
03-13 13:00,151.8,58.18,71.25,91.16
03-13 14:00,151.9,51.39,77.18,94.32
03-13 15:00,161.1,49.85,80.0,102.46
03-13 16:00,147.08,53.06,63.41,116.91
03-13 17:00,166.87,57.77,55.7,101.37
03-13 18:00,137.22,66.77,57.09,94.66
03-13 19:00,125.49,69.48,57.32,87.18
03-13 20:00,137.03,62.67,58.6,75.71
03-13 21:00,141.57,63.5,58.97,67.1
03-13 22:00,143.96,66.5,76.26,60.05
03-13 23:00,138.52,67.49,65.33,58.83
03-14 00:00,129.13,53.17,65.16,56.45
03-14 01:00,130.48,39.92,70.27,56.41
03-14 02:00,137.26,47.62,79.49,59.42
03-14 03:00,137.84,56.81,79.14,63.91
03-14 04:00,139.46,55.33,98.21,61.8
03-14 05:00,137.71,58.25,92.89,59.02
03-14 06:00,137.8,82.17,80.3,57.43
03-14 07:00,154.58,69.78,88.46,57.87
03-14 08:00,167.92,79.85,92.9,54.99
03-14 09:00,158.09,67.04,95.3,51.95
03-14 10:00,153.32,68.28,95.04,51.27
03-14 11:00,147.81,64.57,92.66,50.88
03-14 12:00,156.91,63.8,92.14,50.33
03-14 13:00,145.17,65.36,95.61,51.92
03-14 14:00,143.49,68.72,96.75,52.39
03-14 15:00,170.04,77.79,82.03,56.05
03-14 16:00,152.46,87.02,79.8,63.79
03-14 17:00,137.09,97.98,87.57,71.34
03-14 18:00,149.95,93.28,94.92,69.7
03-14 19:00,139.93,88.45,89.64,68.92
03-14 20:00,152.88,86.71,86.86,64.24
03-14 21:00,147.92,76.77,99.62,66.0
03-14 22:00,145.52,69.76,106.81,66.74
03-14 23:00,130.03,65.97,83.71,64.79
03-15 00:00,137.34,69.4,67.16,64.79
03-15 01:00,149.04,64.24,65.56,61.86
03-15 02:00,147.13,62.99,70.67,55.62
03-15 03:00,159.99,65.02,72.93,56.15
03-15 04:00,171.84,70.42,80.17,56.24
03-15 05:00,157.54,132.44,80.73,63.77
03-15 06:00,157.03,154.4,88.44,67.59
03-15 07:00,165.76,156.41,88.53,61.85
03-15 08:00,174.1,127.64,90.48,70.86
03-15 09:00,173.14,107.46,88.56,79.51
03-15 10:00,168.95,102.03,73.98,93.07
03-15 11:00,152.68,119.2,71.64,100.47
03-15 12:00,129.0,116.98,69.37,95.47
03-15 13:00,122.35,130.76,68.48,80.18
03-15 14:00,137.28,130.77,79.44,65.81
03-15 15:00,120.98,128.5,82.03,64.31
03-15 16:00,135.48,127.48,78.29,60.41
03-15 17:00,152.0,137.98,94.87,63.86
03-15 18:00,148.13,145.79,104.67,62.62
03-15 19:00,146.21,147.75,95.1,62.75
03-15 20:00,172.22,144.88,88.7,62.2
03-15 21:00,151.1,143.26,93.34,58.6
03-15 22:00,135.16,136.09,91.59,60.42
03-15 23:00,128.53,138.35,86.57,58.35
03-16 00:00,148.16,127.59,78.13,54.0
